sample_id,bert_alerts
1,[]
2,"[{""offset"":28,""char"":""曰"",""error_prob"":0.9563},{""offset"":37,""char"":""敎"",""error_prob"":0.9423},{""offset"":175,""char"":""逐"",""error_prob"":0.86}]"
3,"[{""offset"":256,""char"":""丗"",""error_prob"":0.9917},{""offset"":269,""char"":""卋"",""error_prob"":0.9945},{""offset"":290,""char"":""丗"",""error_prob"":0.9926},{""offset"":300,""char"":""丗"",""error_prob"":0.9903},{""offset"":373,""char"":""丗"",""error_prob"":0.949}]"
4,"[{""offset"":174,""char"":""飮"",""error_prob"":0.9574}]"
5,"[{""offset"":192,""char"":""孰"",""error_prob"":0.9501},{""offset"":223,""char"":""工"",""error_prob"":0.8344},{""offset"":322,""char"":""疑"",""error_prob"":0.9847},{""offset"":369,""char"":""收"",""error_prob"":0.8528},{""offset"":371,""char"":""襄"",""error_prob"":0.9361}]"
6,"[{""offset"":274,""char"":""邰"",""error_prob"":0.9165}]"
7,[]
8,"[{""offset"":257,""char"":""阜"",""error_prob"":0.8609}]"
9,"[{""offset"":93,""char"":""廁"",""error_prob"":0.9115},{""offset"":101,""char"":""廁"",""error_prob"":0.9406},{""offset"":368,""char"":""弁"",""error_prob"":0.981}]"
10,"[{""offset"":46,""char"":""侯"",""error_prob"":0.8387},{""offset"":138,""char"":""騊"",""error_prob"":0.9903}]"
11,[]
12,"[{""offset"":51,""char"":""哀"",""error_prob"":0.9826},{""offset"":257,""char"":""丗"",""error_prob"":0.9252},{""offset"":272,""char"":""侔"",""error_prob"":0.8013},{""offset"":275,""char"":""蓋"",""error_prob"":0.8476},{""offset"":378,""char"":""丗"",""error_prob"":0.9767}]"
13,[]
14,"[{""offset"":46,""char"":""曰"",""error_prob"":0.9913},{""offset"":81,""char"":""葉"",""error_prob"":0.8637},{""offset"":150,""char"":""醢"",""error_prob"":0.8202}]"
