sample_id,image_path,original_filename,batch,note,ocr_initial,corrected_text,status,labels,annotator_name,reviewer_note
1,1.jpg,1.jpg,一期,一期,"爲軍正故浩侯王恢使導軍【徐廣曰恢先受封一年坐使酒泉矯制國除】而李
哆爲校尉制軍事是歲太初元年也而關東蝗大
起蜚西至敦煌貳師將軍軍旣西過鹽水當道小
國恐各堅城守不肯給食攻之不能下下者得食
不下者數日則去比至郁成士至者不過數千皆
飢罷攻郁成郁成大破之所殺傷甚衆貳師將軍
與哆始成等計至郁成尚不能舉況至其王都乎
引兵而還往來二歲還至燉煌士不過什一二使
使上書言道逺多乏食且士卒不患戰患飢人少
不足以抜宛願且能兵益發而復往天子聞之大","爲軍正故浩侯王恢使導軍【徐廣曰恢先受封一年坐使酒泉矯制國除】而李
哆爲校尉制軍事是歲太初元年也而關東蝗大
起蜚西至敦煌貳師將軍軍旣西過鹽水當道小
國恐各堅城守不肯給食攻之不能下下者得食
不下者數日則去比至郁成士至者不過數千皆
飢罷攻郁成郁成大破之所殺傷甚衆貳師將軍
與哆始成等計至郁成尚不能舉況至其王都乎
引兵而還往來二歲還至燉煌士不過什一二使
使上書言道逺多乏食且士卒不患戰患飢人少
不足以抜宛願且能兵益發而復往天子聞之大",待标注,"{""行款"":""半页10行，行19字""}",,
2,2.jpg,2.jpg,一期,一期,"王申生去大軍二百里偵而輕之責郁成郁##
不肯出窺知申生軍曰少晨用三千人攻戮敎申
生等軍破數人脫亡走貳師貳師令搜粟都尉上
官桀往攻破郁成郁成王亡走康居桀追至康居
康居聞漢巳破宛乃出郁成王子桀桀令四騎士
縛守詣大將軍
【如淳曰時多别將故謂貳師爲大將軍】
四人相謂曰郁成王
漢國所毒今生將去卒失大事欲殺莫敢先擊上
邽騎士趙弟最少拔劔擊之斬郁成王齎頭弟桀
等逐及大將軍初貳師後行天子使使告烏孫大 
發兵并力擊宛烏孫發二千騎往持兩端不肯前
貳師將軍之東諸所過小國聞宛破皆使其子弟
從軍入獻見天子因以爲質焉貳師之伐宛也而
軍正趙始成力戰功最多及上官桀敢深入李哆
爲謀計軍入玉門者萬餘人軍馬千餘匹貳師後
行軍非乏食戰死不能多而將吏貪多不愛士卒
侵牟之以此物故衆天子爲萬里而伐宛不録過
封廣利爲海西侯又封身斬郁成王者騎士趙弟
爲新畤侯軍正趙始成爲光禄大夫上官桀爲少
府李哆爲上黨太守軍官吏爲九卿者三人諸侯
相郡守二千石者百餘人千石以下千餘人奮行","王申生去大軍二百里偵而輕之責郁成郁##
不肯出窺知申生軍曰少晨用三千人攻戮敎申
生等軍破數人脫亡走貳師貳師令搜粟都尉上
官桀往攻破郁成郁成王亡走康居桀追至康居
康居聞漢巳破宛乃出郁成王子桀桀令四騎士
縛守詣大將軍
【如淳曰時多别將故謂貳師爲大將軍】
四人相謂曰郁成王
漢國所毒今生將去卒失大事欲殺莫敢先擊上
邽騎士趙弟最少拔劔擊之斬郁成王齎頭弟桀
等逐及大將軍初貳師後行天子使使告烏孫大 
發兵并力擊宛烏孫發二千騎往持兩端不肯前
貳師將軍之東諸所過小國聞宛破皆使其子弟
從軍入獻見天子因以爲質焉貳師之伐宛也而
軍正趙始成力戰功最多及上官桀敢深入李哆
爲謀計軍入玉門者萬餘人軍馬千餘匹貳師後
行軍非乏食戰死不能多而將吏貪多不愛士卒
侵牟之以此物故衆天子爲萬里而伐宛不録過
封廣利爲海西侯又封身斬郁成王者騎士趙弟
爲新畤侯軍正趙始成爲光禄大夫上官桀爲少
府李哆爲上黨太守軍官吏爲九卿者三人諸侯
相郡守二千石者百餘人千石以下千餘人奮行",标注中,"{""行款"":""半页10行，行19字"",""页面位置"":""封面""}",Lucas,
3,3.jpg,3.jpg,一期,一期,"徒乳母罰謫譛之者
武帝時齊人有東方生名朔以好古傳書愛經術
多所博觀外家之語朔初入長安至公車上書凢
用三千奏牘公車令兩人共持舉其書僅然能勝
之人主從上方讀之止輒乙其處讀之二月乃盡
詔拜以爲郎常在側侍中數召至前談語人主未
甞不說也時詔賜之食於前飯巳盡懷其餘肉持
去衣盡汗數賜縑帛擔揭而去徒用所賜錢帛取
少婦於長安中好女率取婦一歲所者即棄去更
取婦所賜錢財盡索之於女子人主左右諸郎半
呼之狂人人主聞之曰令朔在事無爲是行者若
等安能及之哉朔任其子爲郎又爲侍謁者常持
節出使朔行殿中郎謂之曰人皆以先生爲狂朔
曰如朔等所謂避丗於朝庭間者也古之人乃避
卋於深山中時坐席中酒酣據地歌曰陸沈於俗
避丗金馬門宫殿中可以避丗全身何必深山之
中蒿廬之下金馬門者宮署門也門傍有銅馬故
謂之曰金馬門時㑹聚宫下博士諸先生與論議
共難之曰蘇秦張儀一當萬乗之主而都卿相之
位澤及後丗今子大夫修先王之術慕聖人之義","徒乳母罰謫譛之者
武帝時齊人有東方生名朔以好古傳書愛經術
多所博觀外家之語朔初入長安至公車上書凢
用三千奏牘公車令兩人共持舉其書僅然能勝
之人主從上方讀之止輒乙其處讀之二月乃盡
詔拜以爲郎常在側侍中數召至前談語人主未
甞不說也時詔賜之食於前飯巳盡懷其餘肉持
去衣盡汗數賜縑帛擔揭而去徒用所賜錢帛取
少婦於長安中好女率取婦一歲所者即棄去更
取婦所賜錢財盡索之於女子人主左右諸郎半
呼之狂人人主聞之曰令朔在事無爲是行者若
等安能及之哉朔任其子爲郎又爲侍謁者常持
節出使朔行殿中郎謂之曰人皆以先生爲狂朔
曰如朔等所謂避丗於朝庭間者也古之人乃避
卋於深山中時坐席中酒酣據地歌曰陸沈於俗
避丗金馬門宫殿中可以避丗全身何必深山之
中蒿廬之下金馬門者宮署門也門傍有銅馬故
謂之曰金馬門時㑹聚宫下博士諸先生與論議
共難之曰蘇秦張儀一當萬乗之主而都卿相之
位澤及後丗今子大夫修先王之術慕聖人之義",待标注,"{""行款"":""半页19行，行19字""}",,
4,4.jpg,4.jpg,一期,一期,"頭而歌負薪者以封優旃臨檻疾呼陛楯得以半
更豈不亦偉哉
褚先生曰臣幸得以經術爲郎而好讀外家傳語
竊不遜讓復作故事滑稽之語六章編之於左可
以覽觀揚意以示後丗好事者讀之以游心駭耳
以附益上方太史公之三章武帝時有所幸倡郭
舎人者發言陳辭雖不合大道然令人主和說武
帝少時東武侯母常養帝帝壯時號之曰大乳母
率一月再朝朝奏入有詔使幸臣馬游卿以帛五
十匹賜乳母又奉飮糒飱養乳母乳母上書曰某
所有公田願得假倩之帝曰乳母欲得之乎以賜
乳母乳母所言未甞不聽有詔得令乳母乗車行
馳道中當此之時公卿大臣皆敬重乳母乳母家
子孫奴從者橫暴長安中當道掣頓人車馬奪人
衣服聞於中不忍致之法有司請徙乳母家室處
之於邊奏可乳母當入至前面見辭乳母先見郭
舎人爲下泣舎人曰即入見辭去疾步數還顧乳
母如其言謝去疾步數還顧郭舎人疾言罵之曰
咄老女子何不疾行陛下巳壯矣寧尚須汝乳而
活邪尚何還顧於是人主憐焉悲之乃下詔止無","頭而歌負薪者以封優旃臨檻疾呼陛楯得以半
更豈不亦偉哉
褚先生曰臣幸得以經術爲郎而好讀外家傳語
竊不遜讓復作故事滑稽之語六章編之於左可
以覽觀揚意以示後丗好事者讀之以游心駭耳
以附益上方太史公之三章武帝時有所幸倡郭
舎人者發言陳辭雖不合大道然令人主和說武
帝少時東武侯母常養帝帝壯時號之曰大乳母
率一月再朝朝奏入有詔使幸臣馬游卿以帛五
十匹賜乳母又奉飮糒飱養乳母乳母上書曰某
所有公田願得假倩之帝曰乳母欲得之乎以賜
乳母乳母所言未甞不聽有詔得令乳母乗車行
馳道中當此之時公卿大臣皆敬重乳母乳母家
子孫奴從者橫暴長安中當道掣頓人車馬奪人
衣服聞於中不忍致之法有司請徙乳母家室處
之於邊奏可乳母當入至前面見辭乳母先見郭
舎人爲下泣舎人曰即入見辭去疾步數還顧乳
母如其言謝去疾步數還顧郭舎人疾言罵之曰
咄老女子何不疾行陛下巳壯矣寧尚須汝乳而
活邪尚何還顧於是人主憐焉悲之乃下詔止無",待标注,"{""行款"":""半页19行，行19字""}",,
5,5.jpg,5.jpg,一期,一期,"王知此鳥何也王曰此鳥不飛則巳一飛沖天不
鳴則巳一鳴驚人於是乃朝諸縣令長七十二人
賞一人誅一人奮兵而出諸侯振驚皆還齊侵地
威行三十六年語在田完世家中
威王八年楚大發兵加齊齊王使淳于髠之趙請
救兵齎金百斤車馬十駟淳于髠仰天大笑冠纓
索絕王曰先生少之乎髠曰何敢王曰笑豈有說
乎髠曰今者臣從東方來見道傍有穰田者操一
豚蹄酒一盂而祝曰甌寠滿篝【徐廣曰篝籠也】汙邪滿車【司馬
曰汗邪地田也】五穀蕃孰穰穰滿家臣見其所持者狹而
所試者奢故笑之於是齊威王乃益齎黄金工假
白璧十雙車馬百駟髠辭而行至趙趙王與之精
兵十萬革車千乗楚聞之夜引兵而去威王大說
置酒後宫召髡賜之酒問曰先生能飲幾何而醉
髠對曰臣飮一斗亦醉一石亦醉威王曰先生飮
一斗而醉惡能飲一石哉其說可得聞乎疑曰賜
酒大王之前執法在傍御史在後髠恐懼俯伏而
飮不過一斗徑醉矣若親有嚴客髠帣韝鞠【徐廣
曰帣收衣襄也褏矜也韝臂捍也音講鞠曲也音其紀反又與跽同謂小跪也】侍酒於前時賜餘瀝
奉觴上壽數起飮不過二斗徑醉矣若朋友交遊","王知此鳥何也王曰此鳥不飛則巳一飛沖天不
鳴則巳一鳴驚人於是乃朝諸縣令長七十二人
賞一人誅一人奮兵而出諸侯振驚皆還齊侵地
威行三十六年語在田完世家中
威王八年楚大發兵加齊齊王使淳于髠之趙請
救兵齎金百斤車馬十駟淳于髠仰天大笑冠纓
索絕王曰先生少之乎髠曰何敢王曰笑豈有說
乎髠曰今者臣從東方來見道傍有穰田者操一
豚蹄酒一盂而祝曰甌寠滿篝【徐廣曰篝籠也】汙邪滿車【司馬
曰汗邪地田也】五穀蕃孰穰穰滿家臣見其所持者狹而
所試者奢故笑之於是齊威王乃益齎黄金工假
白璧十雙車馬百駟髠辭而行至趙趙王與之精
兵十萬革車千乗楚聞之夜引兵而去威王大說
置酒後宫召髡賜之酒問曰先生能飲幾何而醉
髠對曰臣飮一斗亦醉一石亦醉威王曰先生飮
一斗而醉惡能飲一石哉其說可得聞乎疑曰賜
酒大王之前執法在傍御史在後髠恐懼俯伏而
飮不過一斗徑醉矣若親有嚴客髠帣韝鞠【徐廣
曰帣收衣襄也褏矜也韝臂捍也音講鞠曲也音其紀反又與跽同謂小跪也】侍酒於前時賜餘瀝
奉觴上壽數起飮不過二斗徑醉矣若朋友交遊",待标注,"{""行款"":""半页20行，行19字""}",,
6,6.jpg,6.jpg,一期,一期,"【帝時徙南陽仍號舂陵故城今在隨州棗陽縣東事具宗室四王傳】買生鬱林太守
外【鬱林郡今郴州縣前書曰郡守秦官秩二千石景帝更名太守】外生鉅鹿都
尉回【鉅鹿郡今邢州縣也前書曰都尉本郡尉秦官也掌佐守典武職秩比二千石景帝更名都尉】
回生南頓令欽【南頓縣屬汝南郡故城在今陳州項城縣西前書曰令長皆秦官也
萬戸以上爲令秩千石至六百石不滿萬戸爲長秩五百石至三百石】欽生光武光
武年九嵗而孤養於叔父良身長七尺三
寸美須眉大口隆準日角【隆髙也許負云鼻頭爲準鄭玄尚書中矦
注云日角謂庭中骨起狀如日】性勤於稼穡【種曰稼斂曰穡】而兄伯升
好俠養士常非笑光武事田業比之髙祖
兄仲【仲邰陽矦喜也能爲產業見前書】王莽天鳳中【王莽建國六年改爲
天鳳○劉攽曰注按莽號始建國年凡三字此少一始字】乃之長安受尚書略
通大義【東觀記曰受尚書於中大夫廬江許子威資用乏與同舎生韓子合錢買驢令從者僦以
給諸公費】莽末天下連嵗災蝗宼盜鋒起【言賊鋒銳
競起字或作#諭多也】地皇三年【天鳳六年改爲地皇】南陽荒饑【韓詩
外傳曰一穀不升曰歉二穀不升曰饑三穀不升曰饉四穀不升曰荒五穀不升曰大侵】諸家賓
客多爲小盜光武避吏新野【新野屬南陽郡今鄧州縣續漢","【帝時徙南陽仍號舂陵故城今在隨州棗陽縣東事具宗室四王傳】買生鬱林太守
外【鬱林郡今郴州縣前書曰郡守秦官秩二千石景帝更名太守】外生鉅鹿都
尉回【鉅鹿郡今邢州縣也前書曰都尉本郡尉秦官也掌佐守典武職秩比二千石景帝更名都尉】
回生南頓令欽【南頓縣屬汝南郡故城在今陳州項城縣西前書曰令長皆秦官也
萬戸以上爲令秩千石至六百石不滿萬戸爲長秩五百石至三百石】欽生光武光
武年九嵗而孤養於叔父良身長七尺三
寸美須眉大口隆準日角【隆髙也許負云鼻頭爲準鄭玄尚書中矦
注云日角謂庭中骨起狀如日】性勤於稼穡【種曰稼斂曰穡】而兄伯升
好俠養士常非笑光武事田業比之髙祖
兄仲【仲邰陽矦喜也能爲產業見前書】王莽天鳳中【王莽建國六年改爲
天鳳○劉攽曰注按莽號始建國年凡三字此少一始字】乃之長安受尚書略
通大義【東觀記曰受尚書於中大夫廬江許子威資用乏與同舎生韓子合錢買驢令從者僦以
給諸公費】莽末天下連嵗災蝗宼盜鋒起【言賊鋒銳
競起字或作#諭多也】地皇三年【天鳳六年改爲地皇】南陽荒饑【韓詩
外傳曰一穀不升曰歉二穀不升曰饑三穀不升曰饉四穀不升曰荒五穀不升曰大侵】諸家賓
客多爲小盜光武避吏新野【新野屬南陽郡今鄧州縣續漢",待标注,"{""行款"":""半页7行，行31字""}",,
7,7.jpg,7.jpg,一期,一期,"帥王鳳陳收西擊長聚【廣雅曰聚居也音慈諭反前書音義曰小於鄉
曰聚】光武初騎牛殺新野尉乃得馬【前書曰尉秦官秩四
百百石至二百石也】進屠唐子鄉【例曰多所誅殺曰屠唐子鄉有唐子山在今唐州湖
陽縣西南】又殺湖陽尉【湖陽屬南陽郡今唐州縣也東前記曰劉終詐稱江夏吏誘殺
之】軍中分財物不均衆恚恨欲反攻諸劉
光武斂宗人所得物悉以與之衆乃悅進
拔棘陽【縣名屬南陽郡在棘水之陽古謝國也故城在今唐州湖陽縣西北棘音己力反】與
王莽前隊大夫甄阜【王莽置六隊郡置大夫一人職如太守南陽爲前隊
河內為後隊潁州為左隊弘農為右隊河東為北隊滎陽為祈隊隊音遂】屬正梁丘賜
【王莽每隊置屬正一人職如都尉】戰於小長安【漢書曰淯陽縣有小長安聚故城在今
鄧州南陽縣南】漢軍大敗還保棘陽
更始元年正月甲子朔漢軍復與甄阜梁
丘賜戰於沘水西大破之斬阜賜【沘水在今唐州沘陽
縣南盧江灊縣亦有沘水與此別也此音比】伯升又破王莽納言將
軍嚴尤秩宗將軍陳茂於淯陽【前書曰納言虞官也掌出
納王命所謂喉舌之官也歷秦漢不置王莽改大司農爲之柏譚新論云莊尤字伯石此言嚴避明帝諱也秩","帥王鳳陳收西擊長聚【廣雅曰聚居也音慈諭反前書音義曰小於鄉
曰聚】光武初騎牛殺新野尉乃得馬【前書曰尉秦官秩四
百百石至二百石也】進屠唐子鄉【例曰多所誅殺曰屠唐子鄉有唐子山在今唐州湖
陽縣西南】又殺湖陽尉【湖陽屬南陽郡今唐州縣也東前記曰劉終詐稱江夏吏誘殺
之】軍中分財物不均衆恚恨欲反攻諸劉
光武斂宗人所得物悉以與之衆乃悅進
拔棘陽【縣名屬南陽郡在棘水之陽古謝國也故城在今唐州湖陽縣西北棘音己力反】與
王莽前隊大夫甄阜【王莽置六隊郡置大夫一人職如太守南陽爲前隊
河內為後隊潁州為左隊弘農為右隊河東為北隊滎陽為祈隊隊音遂】屬正梁丘賜
【王莽每隊置屬正一人職如都尉】戰於小長安【漢書曰淯陽縣有小長安聚故城在今
鄧州南陽縣南】漢軍大敗還保棘陽
更始元年正月甲子朔漢軍復與甄阜梁
丘賜戰於沘水西大破之斬阜賜【沘水在今唐州沘陽
縣南盧江灊縣亦有沘水與此別也此音比】伯升又破王莽納言將
軍嚴尤秩宗將軍陳茂於淯陽【前書曰納言虞官也掌出
納王命所謂喉舌之官也歷秦漢不置王莽改大司農爲之柏譚新論云莊尤字伯石此言嚴避明帝諱也秩",待标注,"{""行款"":""半页6行，行35字""}",,
8,8.jpg,8.jpg,一期,一期,"宗虞官也掌郊廟之事周謂之宗伯秦漢不置王莽改太常爲秩宗後又典兵故納言秩宗皆有將軍號也淯
陽縣屬南郡故城在今鄧州南陽縣南在淯水之陽淯音育】進圍宛城二月辛
巳立劉聖公爲天子以伯升爲大司徒光
武爲太常偏將軍【前書曰奉常秦官景帝更名太常應劭漢官議曰欲令國家盛
大社稷常存故稱太常老子曰偏將軍處左上將軍慶古東觀記曰時無印得定武侯家丞印佩之入朝】三
月光武別與諸將徇昆陽定陵郾皆下之
【徇略也昆陽定陵郾皆縣名並屬潁川郡昆陽故城在今許州葉縣北郾今豫州郾城縣也定陵故城在今郾
城西北郾音於建反】多得牛馬財物穀數十萬斛轉以
饋宛下莽聞阜賜死漢帝立大懼遣大司
徒王尋大司空王邑【王莽時哀章所獻金匱圖有王尋姓名王邑王商子
於莽為從父兄弟也】將兵百萬其甲士四十二萬人五
月到潁川復與嚴尤陳茂合【潁川郡今洛州陽翟縣也】初
光武爲舂陵矦家訟逋租於尤尤見而竒
之【逋違也舂陵矦敞即光武季父也東觀記曰爲季父故舂陵矦詣大司馬府訟地皇元年十二月壬寅前
租二萬六千斛芻槀錢若干萬時宛人朱福亦爲舅訟租於尤尤止車獨與上語不視福上歸戲福曰嚴公寧
視卿耶】及是時城中出降尤者言光武不取","宗虞官也掌郊廟之事周謂之宗伯秦漢不置王莽改太常爲秩宗後又典兵故納言秩宗皆有將軍號也淯
陽縣屬南郡故城在今鄧州南陽縣南在淯水之陽淯音育】進圍宛城二月辛
巳立劉聖公爲天子以伯升爲大司徒光
武爲太常偏將軍【前書曰奉常秦官景帝更名太常應劭漢官議曰欲令國家盛
大社稷常存故稱太常老子曰偏將軍處左上將軍慶古東觀記曰時無印得定武侯家丞印佩之入朝】三
月光武別與諸將徇昆陽定陵郾皆下之
【徇略也昆陽定陵郾皆縣名並屬潁川郡昆陽故城在今許州葉縣北郾今豫州郾城縣也定陵故城在今郾
城西北郾音於建反】多得牛馬財物穀數十萬斛轉以
饋宛下莽聞阜賜死漢帝立大懼遣大司
徒王尋大司空王邑【王莽時哀章所獻金匱圖有王尋姓名王邑王商子
於莽為從父兄弟也】將兵百萬其甲士四十二萬人五
月到潁川復與嚴尤陳茂合【潁川郡今洛州陽翟縣也】初
光武爲舂陵矦家訟逋租於尤尤見而竒
之【逋違也舂陵矦敞即光武季父也東觀記曰爲季父故舂陵矦詣大司馬府訟地皇元年十二月壬寅前
租二萬六千斛芻槀錢若干萬時宛人朱福亦爲舅訟租於尤尤止車獨與上語不視福上歸戲福曰嚴公寧
視卿耶】及是時城中出降尤者言光武不取",待标注,"{""行款"":""半页4行，行42字""}",,
9,9.jpg,9.jpg,一期,一期,"財物但會兵計策尤笑曰是美須眉者耶
何爲乃如是初王莾徴天下能爲兵法者
六十三家數百人並以爲軍吏選練武衞
招募猛士【說文曰募廣求之也】旌旗輜重千里不絶【周禮
曰析羽爲旌熊虎爲旗輜車名繹名曰輜廁也謂軍糧什物雜廁載之以其累重故稱輜重重音直用反】時
有長人巨無霸【王莾連率韓博上言有竒士長一丈大十圍自謂巨無霸出於蓬萊
東南五城西北昭如海濵軺車不能載三馬不能勝臥則枕鼓以鐵箸食見前書】長一丈大
十圍以爲壘尉【鄭玄注周禮云軍壁曰壘崔瑗中壘校尉箴曰堂堂皇帝設爲壘壁
尉者主壘壁之事】又驅諸猛獸【猛或作獷獷猛貌也音古猛反】虎豹犀
象之屬以助威武自秦漢出師之盛未嘗
有也光武將數千兵徼之於陽關【聚名也酈元水經注
曰潁水東南經陽關聚聚夾潁水相對在今洺州陽翟縣西北】諸將見尋邑兵盛
反走馳入昆陽皆惶怖憂念妻孥【孥子也】欲散
歸諸城光武議曰今兵穀既少而外寇彊
大弁力禦之功庶可立如欲分散勢無俱
全且宛城未拔【謂伯升圍之未拔也】不能相救昆陽即","財物但會兵計策尤笑曰是美須眉者耶
何爲乃如是初王莾徴天下能爲兵法者
六十三家數百人並以爲軍吏選練武衞
招募猛士【說文曰募廣求之也】旌旗輜重千里不絶【周禮
曰析羽爲旌熊虎爲旗輜車名繹名曰輜廁也謂軍糧什物雜廁載之以其累重故稱輜重重音直用反】時
有長人巨無霸【王莾連率韓博上言有竒士長一丈大十圍自謂巨無霸出於蓬萊
東南五城西北昭如海濵軺車不能載三馬不能勝臥則枕鼓以鐵箸食見前書】長一丈大
十圍以爲壘尉【鄭玄注周禮云軍壁曰壘崔瑗中壘校尉箴曰堂堂皇帝設爲壘壁
尉者主壘壁之事】又驅諸猛獸【猛或作獷獷猛貌也音古猛反】虎豹犀
象之屬以助威武自秦漢出師之盛未嘗
有也光武將數千兵徼之於陽關【聚名也酈元水經注
曰潁水東南經陽關聚聚夾潁水相對在今洺州陽翟縣西北】諸將見尋邑兵盛
反走馳入昆陽皆惶怖憂念妻孥【孥子也】欲散
歸諸城光武議曰今兵穀既少而外寇彊
大弁力禦之功庶可立如欲分散勢無俱
全且宛城未拔【謂伯升圍之未拔也】不能相救昆陽即",待标注,"{""行款"":""半页5行，行33字""}",,
10,10.jpg,10.jpg,一期,一期,"破一日之閒諸部亦滅矣今不同心膽共
舉功名反欲守妻子財物邪諸將怒曰劉
將軍何敢如是光武笑而起會侯騎還言
大兵且至城北軍陳數百里不見其後諸
將遽相謂曰更請劉將軍計之光武復爲
圖畫成敗諸將憂迫皆曰諾時城中唯有
八九千人光武乃使成國上公王鳳廷尉
大將軍王常留守夜自與驃騎大將軍宗
佻【騊騎大將軍武帝置自霍去病始佻音太堯反】五威將軍李軼等十三
騎【王莽置五威將軍其衣服依五方之色以威天下李軼初起猶假以爲號】出城南門於
外收兵時莽軍到城下者且十萬光武幾
不得出【幾音祈】既至郾定陵悉發諸營兵而
諸將貪惜財貨欲分留守之光武曰今若
破敵珍珤萬倍【珤古寳字】大功可成如爲所敗
首領無餘何財物之有衆乃從嚴尤說王
邑曰昆陽城小而堅今假號者在宛亟進","破一日之閒諸部亦滅矣今不同心膽共
舉功名反欲守妻子財物邪諸將怒曰劉
將軍何敢如是光武笑而起會侯騎還言
大兵且至城北軍陳數百里不見其後諸
將遽相謂曰更請劉將軍計之光武復爲
圖畫成敗諸將憂迫皆曰諾時城中唯有
八九千人光武乃使成國上公王鳳廷尉
大將軍王常留守夜自與驃騎大將軍宗
佻【騊騎大將軍武帝置自霍去病始佻音太堯反】五威將軍李軼等十三
騎【王莽置五威將軍其衣服依五方之色以威天下李軼初起猶假以爲號】出城南門於
外收兵時莽軍到城下者且十萬光武幾
不得出【幾音祈】既至郾定陵悉發諸營兵而
諸將貪惜財貨欲分留守之光武曰今若
破敵珍珤萬倍【珤古寳字】大功可成如爲所敗
首領無餘何財物之有衆乃從嚴尤說王
邑曰昆陽城小而堅今假號者在宛亟進",待标注,"{""行款"":""半页8行，行16字""}",,
